# satellite: 1616 ATLAS D R/B / US
# catalogue: 1 NORAD
# track: 13579881
# variability: 0 Not variable
# variability_period: 0.0
# npoints: 1023
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel
2018-10-10 00:59:49.797000 7.272 8.38799 Clear 0 2208.026 41.55 9
2018-10-10 00:59:49.897000 7.05 8.16622 Clear 0 2208.037 41.531 9
2018-10-10 00:59:49.997000 7.071 8.1873 Clear 0 2208.047 41.513 9
2018-10-10 00:59:50.097000 7.201 8.31743 Clear 0 2208.058 41.494 9
2018-10-10 00:59:50.197000 7.187 8.30302 Clear 0 2208.068 41.476 9
2018-10-10 00:59:50.297000 7.342 8.45694 Clear 0 2208.079 41.457 9
2018-10-10 00:59:50.397000 7.127 8.2422 Clear 0 2208.091 41.439 9
2018-10-10 00:59:50.497000 7.198 8.31305 Clear 0 2208.102 41.42 9
2018-10-10 00:59:50.597000 7.143 8.25807 Clear 0 2208.113 41.401 9
2018-10-10 00:59:50.697000 7.195 8.30946 Clear 0 2208.125 41.383 9
2018-10-10 00:59:50.797000 7.073 8.18826 Clear 0 2208.137 41.364 9
2018-10-10 00:59:50.897000 7.159 8.27434 Clear 0 2208.149 41.346 9
2018-10-10 00:59:50.997000 7.186 8.30098 Clear 0 2208.161 41.327 9
2018-10-10 00:59:51.097000 7.184 8.29822 Clear 0 2208.174 41.309 9
2018-10-10 00:59:51.197000 7.208 8.32184 Clear 0 2208.186 41.29 9
2018-10-10 00:59:51.297000 7.151 8.26527 Clear 0 2208.199 41.272 9
2018-10-10 00:59:51.397000 7.047 8.16113 Clear 0 2208.212 41.253 9
2018-10-10 00:59:51.497000 7.322 8.43601 Clear 0 2208.225 41.234 9
2018-10-10 00:59:51.597000 7.064 8.17821 Clear 0 2208.238 41.216 9
2018-10-10 00:59:51.697000 7.135 8.24935 Clear 0 2208.252 41.197 9
2018-10-10 00:59:51.797000 7.119 8.23269 Clear 0 2208.266 41.179 9
2018-10-10 00:59:51.897000 7.187 8.30029 Clear 0 2208.28 41.16 9
2018-10-10 00:59:51.997000 7.14 8.25344 Clear 0 2208.294 41.142 9
2018-10-10 00:59:52.097000 7.146 8.25912 Clear 0 2208.308 41.123 9
2018-10-10 00:59:52.197000 7.026 8.13853 Clear 0 2208.322 41.105 9
2018-10-10 00:59:52.297000 7.134 8.24727 Clear 0 2208.337 41.086 9
2018-10-10 00:59:52.397000 7.236 8.349 Clear 0 2208.352 41.067 9
2018-10-10 00:59:52.497000 7.224 8.33645 Clear 0 2208.367 41.049 9
2018-10-10 00:59:52.597000 7.109 8.22175 Clear 0 2208.382 41.03 9
2018-10-10 00:59:52.697000 7.33 8.44315 Clear 0 2208.397 41.012 9
2018-10-10 00:59:52.797000 7.144 8.25598 Clear 0 2208.413 40.993 9
2018-10-10 00:59:52.897000 7.245 8.35725 Clear 0 2208.428 40.975 9
2018-10-10 00:59:52.997000 6.986 8.09795 Clear 0 2208.444 40.956 9
2018-10-10 00:59:53.097000 7.124 8.23574 Clear 0 2208.46 40.938 9
2018-10-10 00:59:53.197000 7.162 8.27427 Clear 0 2208.476 40.919 9
2018-10-10 00:59:53.297000 7.045 8.15708 Clear 0 2208.493 40.9 9
2018-10-10 00:59:53.397000 7.038 8.15005 Clear 0 2208.509 40.882 9
2018-10-10 00:59:53.497000 6.97 8.08218 Clear 0 2208.526 40.863 9
2018-10-10 00:59:53.597000 7.095 8.20613 Clear 0 2208.543 40.845 9
2018-10-10 00:59:53.697000 7.246 8.35706 Clear 0 2208.56 40.826 9
2018-10-10 00:59:53.797000 6.96 8.07076 Clear 0 2208.578 40.808 9
2018-10-10 00:59:53.897000 7.195 8.30569 Clear 0 2208.595 40.789 9
2018-10-10 00:59:53.997000 7.089 8.19983 Clear 0 2208.613 40.771 9
2018-10-10 00:59:54.097000 7.213 8.32374 Clear 0 2208.631 40.752 9
2018-10-10 00:59:54.197000 7.177 8.28805 Clear 0 2208.649 40.733 9
2018-10-10 00:59:54.297000 7.0 8.11046 Clear 0 2208.667 40.715 9
2018-10-10 00:59:54.397000 7.039 8.15041 Clear 0 2208.685 40.696 9
2018-10-10 00:59:54.497000 6.981 8.09142 Clear 0 2208.704 40.678 9
2018-10-10 00:59:54.597000 6.907 8.01649 Clear 0 2208.723 40.659 9
2018-10-10 00:59:54.697000 7.236 8.34602 Clear 0 2208.742 40.641 9
2018-10-10 00:59:54.797000 7.143 8.25299 Clear 0 2208.761 40.622 9
2018-10-10 00:59:54.897000 7.174 8.28396 Clear 0 2208.78 40.604 9
2018-10-10 00:59:54.997000 7.175 8.28466 Clear 0 2208.8 40.585 9
2018-10-10 00:59:55.097000 7.258 8.36817 Clear 0 2208.819 40.566 9
2018-10-10 00:59:55.197000 7.081 8.19056 Clear 0 2208.839 40.548 9
2018-10-10 00:59:55.297000 7.225 8.33452 Clear 0 2208.859 40.529 9
2018-10-10 00:59:55.397000 7.126 8.23536 Clear 0 2208.88 40.511 9
2018-10-10 00:59:55.497000 6.959 8.06814 Clear 0 2208.9 40.492 9
2018-10-10 00:59:55.597000 7.162 8.27063 Clear 0 2208.921 40.474 9
2018-10-10 00:59:55.697000 7.179 8.28841 Clear 0 2208.941 40.455 9
2018-10-10 00:59:55.797000 7.148 8.25667 Clear 0 2208.962 40.437 9
2018-10-10 00:59:55.897000 7.022 8.13114 Clear 0 2208.983 40.418 9
2018-10-10 00:59:55.997000 7.029 8.13773 Clear 0 2209.005 40.399 9
2018-10-10 00:59:56.097000 7.182 8.29052 Clear 0 2209.026 40.381 9
2018-10-10 00:59:56.197000 7.141 8.25007 Clear 0 2209.048 40.362 9
2018-10-10 00:59:56.297000 7.221 8.32958 Clear 0 2209.07 40.344 9
2018-10-10 00:59:56.397000 7.155 8.26246 Clear 0 2209.092 40.325 9
2018-10-10 00:59:56.497000 7.155 8.26329 Clear 0 2209.114 40.307 9
2018-10-10 00:59:56.597000 7.125 8.2329 Clear 0 2209.136 40.288 9
2018-10-10 00:59:56.697000 7.121 8.22924 Clear 0 2209.159 40.27 9
2018-10-10 00:59:56.797000 7.034 8.14213 Clear 0 2209.182 40.251 9
2018-10-10 00:59:56.897000 7.263 8.37096 Clear 0 2209.205 40.232 9
2018-10-10 00:59:56.997000 6.951 8.05898 Clear 0 2209.228 40.214 9
2018-10-10 00:59:57.097000 7.182 8.28959 Clear 0 2209.251 40.195 9
2018-10-10 00:59:57.197000 7.072 8.17958 Clear 0 2209.275 40.177 9
2018-10-10 00:59:57.297000 7.121 8.2276 Clear 0 2209.298 40.158 9
2018-10-10 00:59:57.397000 7.119 8.22615 Clear 0 2209.322 40.14 9
2018-10-10 00:59:57.497000 6.907 8.01383 Clear 0 2209.346 40.121 9
2018-10-10 00:59:57.597000 6.874 7.98139 Clear 0 2209.371 40.103 9
2018-10-10 00:59:57.697000 6.997 8.10434 Clear 0 2209.395 40.084 9
2018-10-10 00:59:57.797000 7.134 8.2406 Clear 0 2209.42 40.066 9
2018-10-10 00:59:57.897000 7.268 8.37487 Clear 0 2209.444 40.047 9
2018-10-10 00:59:57.997000 7.13 8.23734 Clear 0 2209.469 40.028 9
2018-10-10 00:59:58.097000 7.165 8.27234 Clear 0 2209.494 40.01 9
2018-10-10 00:59:58.197000 7.138 8.24445 Clear 0 2209.52 39.991 9
2018-10-10 00:59:58.297000 7.24 8.34611 Clear 0 2209.545 39.973 9
2018-10-10 00:59:58.397000 7.412 8.518 Clear 0 2209.571 39.954 9
2018-10-10 00:59:58.497000 7.118 8.22422 Clear 0 2209.597 39.936 9
2018-10-10 00:59:58.597000 7.132 8.23773 Clear 0 2209.623 39.917 9
2018-10-10 00:59:58.697000 7.313 8.41894 Clear 0 2209.649 39.899 9
2018-10-10 00:59:58.797000 7.011 8.11742 Clear 0 2209.676 39.88 9
2018-10-10 00:59:58.897000 7.03 8.13568 Clear 0 2209.702 39.862 9
2018-10-10 00:59:58.997000 7.157 8.26335 Clear 0 2209.729 39.843 9
2018-10-10 00:59:59.097000 7.103 8.20867 Clear 0 2209.756 39.824 9
2018-10-10 00:59:59.197000 7.148 8.25332 Clear 0 2209.783 39.806 9
2018-10-10 00:59:59.297000 7.042 8.14708 Clear 0 2209.81 39.787 9
2018-10-10 00:59:59.397000 7.131 8.23583 Clear 0 2209.838 39.769 9
2018-10-10 00:59:59.497000 7.217 8.32209 Clear 0 2209.865 39.75 9
2018-10-10 00:59:59.597000 7.132 8.23692 Clear 0 2209.893 39.732 9
2018-10-10 00:59:59.697000 7.24 8.34481 Clear 0 2209.921 39.713 9
2018-10-10 00:59:59.897000 7.168 8.27317 Clear 0 2209.978 39.676 9
2018-10-10 00:59:59.997000 7.099 8.20427 Clear 0 2210.007 39.658 9
2018-10-10 01:00:00.097000 7.044 8.14911 Clear 0 2210.035 39.639 9
2018-10-10 01:00:00.297000 7.082 8.18555 Clear 0 2210.093 39.602 9
2018-10-10 01:00:00.397000 7.015 8.1189 Clear 0 2210.123 39.583 9
2018-10-10 01:00:00.497000 7.227 8.33106 Clear 0 2210.152 39.565 9
2018-10-10 01:00:00.597000 7.099 8.20323 Clear 0 2210.182 39.546 9
2018-10-10 01:00:00.697000 7.087 8.19067 Clear 0 2210.212 39.528 9
2018-10-10 01:00:00.797000 7.181 8.28454 Clear 0 2210.242 39.509 9
2018-10-10 01:00:00.897000 7.1 8.20346 Clear 0 2210.272 39.491 9
2018-10-10 01:00:00.997000 7.077 8.18134 Clear 0 2210.302 39.472 9
2018-10-10 01:00:01.097000 6.927 8.03114 Clear 0 2210.333 39.454 9
2018-10-10 01:00:01.197000 7.006 8.10997 Clear 0 2210.364 39.435 9
2018-10-10 01:00:01.297000 7.18 8.28327 Clear 0 2210.395 39.417 9
2018-10-10 01:00:01.397000 7.119 8.22244 Clear 0 2210.426 39.398 9
2018-10-10 01:00:01.497000 7.108 8.21115 Clear 0 2210.457 39.379 9
2018-10-10 01:00:01.597000 7.178 8.28068 Clear 0 2210.489 39.361 9
2018-10-10 01:00:01.697000 7.248 8.35097 Clear 0 2210.52 39.342 9
2018-10-10 01:00:01.797000 7.023 8.12593 Clear 0 2210.552 39.324 9
2018-10-10 01:00:01.897000 7.088 8.19052 Clear 0 2210.584 39.305 9
2018-10-10 01:00:01.997000 7.288 8.39051 Clear 0 2210.617 39.287 9
2018-10-10 01:00:02.097000 7.107 8.20946 Clear 0 2210.649 39.268 9
2018-10-10 01:00:02.197000 7.219 8.32184 Clear 0 2210.682 39.25 9
2018-10-10 01:00:02.297000 6.988 8.08981 Clear 0 2210.714 39.231 9
2018-10-10 01:00:02.397000 6.992 8.09438 Clear 0 2210.747 39.213 9
2018-10-10 01:00:02.497000 7.187 8.28894 Clear 0 2210.78 39.194 9
2018-10-10 01:00:02.597000 6.981 8.08299 Clear 0 2210.814 39.176 9
2018-10-10 01:00:02.697000 7.123 8.2249 Clear 0 2210.847 39.157 9
2018-10-10 01:00:02.797000 6.901 8.00291 Clear 0 2210.881 39.139 9
2018-10-10 01:00:02.897000 7.18 8.28169 Clear 0 2210.915 39.12 9
2018-10-10 01:00:02.997000 7.06 8.16169 Clear 0 2210.949 39.101 9
2018-10-10 01:00:03.097000 7.128 8.22997 Clear 0 2210.983 39.083 9
2018-10-10 01:00:03.197000 7.222 8.3237 Clear 0 2211.017 39.064 9
2018-10-10 01:00:03.297000 7.005 8.10713 Clear 0 2211.052 39.046 9
2018-10-10 01:00:03.397000 7.167 8.26787 Clear 0 2211.087 39.027 9
2018-10-10 01:00:03.497000 7.012 8.11258 Clear 0 2211.122 39.009 9
2018-10-10 01:00:03.597000 7.001 8.10178 Clear 0 2211.157 38.99 9
2018-10-10 01:00:03.697000 7.147 8.24777 Clear 0 2211.192 38.972 9
2018-10-10 01:00:03.797000 7.195 8.29557 Clear 0 2211.228 38.953 9
2018-10-10 01:00:03.897000 7.188 8.28889 Clear 0 2211.263 38.935 9
2018-10-10 01:00:03.997000 7.031 8.13165 Clear 0 2211.299 38.916 9
2018-10-10 01:00:04.097000 7.146 8.24686 Clear 0 2211.335 38.898 9
