# satellite: 60649 CZ-6A DEB / PRC
# catalogue: 1 NORAD
# track: 33164681
# variability: 1 Aperiodic
# variability_period: 0.0
# npoints: 364
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel
2025-10-01 16:34:04.895000 6.512 5.25621 Clear 0 663.123 66.298 4
2025-10-01 16:34:04.995000 6.403 5.1465 Clear 0 663.25 66.321 4
2025-10-01 16:34:05.095000 6.378 5.12265 Clear 0 663.378 66.345 4
2025-10-01 16:34:05.195000 6.245 4.99144 Clear 0 663.506 66.369 4
2025-10-01 16:34:05.295000 6.096 4.84327 Clear 0 663.635 66.392 4
2025-10-01 16:34:05.395000 6.05 4.79689 Clear 0 663.765 66.416 4
2025-10-01 16:34:05.495000 5.984 4.73231 Clear 0 663.896 66.44 4
2025-10-01 16:34:05.595000 6.092 4.84055 Clear 0 664.027 66.464 4
2025-10-01 16:34:05.695000 6.468 5.21688 Clear 0 664.16 66.487 4
2025-10-01 16:34:05.795000 6.825 5.57495 Clear 0 664.293 66.511 4
2025-10-01 16:34:05.895000 6.967 5.71791 Clear 0 664.426 66.535 4
2025-10-01 16:34:05.995000 7.3 6.05159 Clear 0 664.561 66.559 4
2025-10-01 16:34:06.095000 7.425 6.17721 Clear 0 664.696 66.583 4
2025-10-01 16:34:06.195000 7.612 6.36524 Clear 0 664.832 66.606 4
2025-10-01 16:34:06.295000 7.657 6.41105 Clear 0 664.969 66.63 4
2025-10-01 16:34:06.395000 7.543 6.2979 Clear 0 665.106 66.654 4
2025-10-01 16:34:06.495000 7.523 6.27788 Clear 0 665.245 66.678 4
2025-10-01 16:34:06.595000 7.312 6.0684 Clear 0 665.384 66.702 4
2025-10-01 16:34:06.695000 7.236 5.99254 Clear 0 665.524 66.726 4
2025-10-01 16:34:06.795000 7.034 5.79203 Clear 0 665.664 66.75 4
2025-10-01 16:34:06.895000 6.887 5.64511 Clear 0 665.805 66.774 4
2025-10-01 16:34:06.995000 6.787 5.546 Clear 0 665.947 66.798 4
2025-10-01 16:34:07.095000 6.968 5.72842 Clear 0 666.09 66.822 4
2025-10-01 16:34:07.195000 7.312 6.07261 Clear 0 666.234 66.846 4
2025-10-01 16:34:07.295000 7.729 6.49016 Clear 0 666.378 66.87 4
2025-10-01 16:34:07.395000 8.046 6.80769 Clear 0 666.523 66.894 4
