# satellite: 40878 YAOGAN 27 / PRC
# catalogue: 1 NORAD
# track: 12354681
# variability: 0 Not variable
# variability_period: 0.0
# npoints: 1030
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel
2017-05-30 17:59:02.901000 6.873 7.05538 Clear 0 1223.622 74.382 2
2017-05-30 17:59:03.001000 6.876 7.05768 Clear 0 1223.616 74.414 2
2017-05-30 17:59:03.101000 6.881 7.06365 Clear 0 1223.612 74.445 2
2017-05-30 17:59:03.201000 6.972 7.15453 Clear 0 1223.607 74.476 2
2017-05-30 17:59:03.301000 6.958 7.14217 Clear 0 1223.603 74.508 2
2017-05-30 17:59:03.401000 6.932 7.11608 Clear 0 1223.599 74.539 2
2017-05-30 17:59:03.501000 6.896 7.08069 Clear 0 1223.596 74.57 2
2017-05-30 17:59:03.601000 6.87 7.05481 Clear 0 1223.593 74.602 2
2017-05-30 17:59:03.701000 6.907 7.09283 Clear 0 1223.591 74.633 2
2017-05-30 17:59:03.801000 6.897 7.08253 Clear 0 1223.588 74.664 2
2017-05-30 17:59:03.901000 6.872 7.05796 Clear 0 1223.587 74.696 2
2017-05-30 17:59:04.001000 6.759 6.94551 Clear 0 1223.585 74.727 2
2017-05-30 17:59:04.101000 6.974 7.16061 Clear 0 1223.584 74.759 2
2017-05-30 17:59:04.201000 7.058 7.24637 Clear 0 1223.583 74.79 2
2017-05-30 17:59:04.301000 6.953 7.14093 Clear 0 1223.583 74.821 2
2017-05-30 17:59:04.401000 7.001 7.18986 Clear 0 1223.583 74.853 2
2017-05-30 17:59:04.501000 6.916 7.10494 Clear 0 1223.584 74.884 2
2017-05-30 17:59:04.601000 6.886 7.07625 Clear 0 1223.584 74.916 2
2017-05-30 17:59:04.701000 6.949 7.13871 Clear 0 1223.586 74.947 2
2017-05-30 17:59:04.801000 7.052 7.24299 Clear 0 1223.587 74.978 2
2017-05-30 17:59:04.901000 7.018 7.20901 Clear 0 1223.589 75.01 2
2017-05-30 17:59:05.001000 6.957 7.14798 Clear 0 1223.591 75.041 2
2017-05-30 17:59:05.101000 6.824 7.01634 Clear 0 1223.594 75.072 2
2017-05-30 17:59:05.201000 6.929 7.12103 Clear 0 1223.597 75.104 2
2017-05-30 17:59:05.301000 6.964 7.15734 Clear 0 1223.6 75.135 2
2017-05-30 17:59:05.401000 6.939 7.13156 Clear 0 1223.604 75.167 2
2017-05-30 17:59:05.501000 6.897 7.0905 Clear 0 1223.608 75.198 2
2017-05-30 17:59:05.601000 6.921 7.11491 Clear 0 1223.613 75.229 2
2017-05-30 17:59:05.701000 6.915 7.10951 Clear 0 1223.618 75.261 2
2017-05-30 17:59:05.801000 7.003 7.19803 Clear 0 1223.623 75.292 2
2017-05-30 17:59:05.901000 6.982 7.17793 Clear 0 1223.629 75.324 2
2017-05-30 17:59:06.001000 6.976 7.17242 Clear 0 1223.635 75.355 2
2017-05-30 17:59:06.101000 6.906 7.10275 Clear 0 1223.641 75.386 2
2017-05-30 17:59:06.201000 6.89 7.08703 Clear 0 1223.648 75.418 2
2017-05-30 17:59:06.301000 6.99 7.18791 Clear 0 1223.655 75.449 2
2017-05-30 17:59:06.401000 6.923 7.12113 Clear 0 1223.662 75.48 2
2017-05-30 17:59:06.501000 6.959 7.15677 Clear 0 1223.67 75.512 2
2017-05-30 17:59:06.601000 6.932 7.13057 Clear 0 1223.679 75.543 2
2017-05-30 17:59:06.701000 6.927 7.12619 Clear 0 1223.687 75.575 2
2017-05-30 17:59:06.801000 6.983 7.18332 Clear 0 1223.696 75.606 2
2017-05-30 17:59:06.901000 6.905 7.10526 Clear 0 1223.706 75.637 2
2017-05-30 17:59:07.001000 7.002 7.20327 Clear 0 1223.715 75.669 2
2017-05-30 17:59:07.101000 6.966 7.16707 Clear 0 1223.725 75.7 2
2017-05-30 17:59:07.201000 7.006 7.20826 Clear 0 1223.736 75.732 2
2017-05-30 17:59:07.301000 6.964 7.16566 Clear 0 1223.747 75.763 2
2017-05-30 17:59:07.401000 6.875 7.07815 Clear 0 1223.758 75.794 2
2017-05-30 17:59:07.501000 6.993 7.19575 Clear 0 1223.77 75.826 2
2017-05-30 17:59:07.601000 6.859 7.06344 Clear 0 1223.782 75.857 2
2017-05-30 17:59:07.701000 7.011 7.2149 Clear 0 1223.794 75.889 2
2017-05-30 17:59:07.801000 6.943 7.14809 Clear 0 1223.807 75.92 2
2017-05-30 17:59:07.901000 6.917 7.12227 Clear 0 1223.82 75.951 2
2017-05-30 17:59:08.001000 6.963 7.16903 Clear 0 1223.833 75.983 2
2017-05-30 17:59:08.101000 6.965 7.17109 Clear 0 1223.847 76.014 2
2017-05-30 17:59:08.201000 6.951 7.15819 Clear 0 1223.861 76.046 2
2017-05-30 17:59:08.301000 7.0 7.2071 Clear 0 1223.876 76.077 2
2017-05-30 17:59:08.401000 6.946 7.15391 Clear 0 1223.891 76.108 2
2017-05-30 17:59:08.501000 6.998 7.20558 Clear 0 1223.906 76.14 2
2017-05-30 17:59:08.601000 6.86 7.0688 Clear 0 1223.922 76.171 2
2017-05-30 17:59:08.701000 6.931 7.14 Clear 0 1223.938 76.203 2
2017-05-30 17:59:08.801000 6.843 7.05325 Clear 0 1223.954 76.234 2
2017-05-30 17:59:08.901000 7.062 7.27204 Clear 0 1223.971 76.265 2
2017-05-30 17:59:09.001000 7.0 7.2112 Clear 0 1223.988 76.297 2
2017-05-30 17:59:09.101000 6.979 7.18992 Clear 0 1224.006 76.328 2
2017-05-30 17:59:09.201000 6.946 7.15837 Clear 0 1224.024 76.359 2
2017-05-30 17:59:09.301000 6.996 7.20819 Clear 0 1224.042 76.391 2
2017-05-30 17:59:09.401000 6.971 7.184 Clear 0 1224.061 76.422 2
2017-05-30 17:59:09.501000 6.91 7.12304 Clear 0 1224.08 76.454 2
2017-05-30 17:59:09.601000 6.946 7.16043 Clear 0 1224.099 76.485 2
2017-05-30 17:59:09.701000 6.941 7.15484 Clear 0 1224.119 76.516 2
2017-05-30 17:59:09.801000 6.979 7.1935 Clear 0 1224.139 76.548 2
2017-05-30 17:59:09.901000 6.849 7.0643 Clear 0 1224.16 76.579 2
2017-05-30 17:59:10.001000 6.872 7.08762 Clear 0 1224.181 76.611 2
2017-05-30 17:59:10.101000 6.882 7.09773 Clear 0 1224.202 76.642 2
2017-05-30 17:59:10.201000 6.906 7.12332 Clear 0 1224.224 76.673 2
2017-05-30 17:59:10.301000 6.966 7.1834 Clear 0 1224.246 76.705 2
2017-05-30 17:59:10.401000 6.846 7.06413 Clear 0 1224.268 76.736 2
2017-05-30 17:59:10.501000 6.997 7.21453 Clear 0 1224.291 76.768 2
2017-05-30 17:59:10.601000 6.911 7.1298 Clear 0 1224.314 76.799 2
2017-05-30 17:59:10.701000 7.03 7.24878 Clear 0 1224.338 76.83 2
2017-05-30 17:59:10.801000 6.94 7.16027 Clear 0 1224.362 76.862 2
2017-05-30 17:59:10.901000 6.994 7.21435 Clear 0 1224.386 76.893 2
2017-05-30 17:59:11.001000 7.035 7.25621 Clear 0 1224.411 76.924 2
2017-05-30 17:59:11.101000 6.907 7.12762 Clear 0 1224.436 76.956 2
2017-05-30 17:59:11.201000 7.026 7.24834 Clear 0 1224.461 76.987 2
2017-05-30 17:59:11.301000 7.064 7.28547 Clear 0 1224.487 77.019 2
2017-05-30 17:59:11.401000 7.0 7.22274 Clear 0 1224.513 77.05 2
2017-05-30 17:59:11.501000 6.977 7.19977 Clear 0 1224.539 77.081 2
2017-05-30 17:59:11.601000 7.007 7.23088 Clear 0 1224.566 77.113 2
2017-05-30 17:59:11.701000 6.997 7.22096 Clear 0 1224.594 77.144 2
2017-05-30 17:59:11.801000 6.99 7.2151 Clear 0 1224.621 77.176 2
2017-05-30 17:59:11.901000 6.996 7.2211 Clear 0 1224.649 77.207 2
2017-05-30 17:59:12.001000 6.955 7.18127 Clear 0 1224.677 77.238 2
2017-05-30 17:59:12.101000 6.983 7.21014 Clear 0 1224.706 77.27 2
2017-05-30 17:59:12.201000 6.994 7.22124 Clear 0 1224.735 77.301 2
2017-05-30 17:59:12.301000 6.989 7.21686 Clear 0 1224.765 77.332 2
2017-05-30 17:59:12.401000 7.047 7.27522 Clear 0 1224.795 77.364 2
2017-05-30 17:59:12.501000 7.012 7.24093 Clear 0 1224.825 77.395 2
2017-05-30 17:59:12.601000 6.941 7.16946 Clear 0 1224.855 77.427 2
2017-05-30 17:59:12.701000 7.066 7.29641 Clear 0 1224.886 77.458 2
2017-05-30 17:59:12.801000 7.002 7.23149 Clear 0 1224.918 77.489 2
2017-05-30 17:59:12.901000 7.015 7.24605 Clear 0 1224.949 77.521 2
2017-05-30 17:59:13.001000 7.017 7.24758 Clear 0 1224.982 77.552 2
2017-05-30 17:59:13.101000 7.067 7.2987 Clear 0 1225.014 77.583 2
2017-05-30 17:59:13.201000 7.099 7.33103 Clear 0 1225.047 77.615 2
2017-05-30 17:59:13.301000 7.074 7.30716 Clear 0 1225.08 77.646 2
2017-05-30 17:59:13.401000 7.022 7.25457 Clear 0 1225.114 77.678 2
2017-05-30 17:59:13.501000 6.948 7.1818 Clear 0 1225.148 77.709 2
2017-05-30 17:59:13.601000 7.027 7.26185 Clear 0 1225.182 77.74 2
2017-05-30 17:59:13.701000 7.035 7.26993 Clear 0 1225.217 77.772 2
2017-05-30 17:59:13.801000 7.048 7.28364 Clear 0 1225.252 77.803 2
2017-05-30 17:59:13.901000 7.081 7.31669 Clear 0 1225.287 77.834 2
2017-05-30 17:59:14.001000 7.056 7.29314 Clear 0 1225.323 77.866 2
2017-05-30 17:59:14.101000 7.047 7.28442 Clear 0 1225.359 77.897 2
2017-05-30 17:59:14.201000 6.971 7.20912 Clear 0 1225.395 77.928 2
2017-05-30 17:59:14.301000 6.972 7.21012 Clear 0 1225.432 77.96 2
2017-05-30 17:59:14.401000 7.076 7.31452 Clear 0 1225.47 77.991 2
2017-05-30 17:59:14.501000 7.025 7.26417 Clear 0 1225.507 78.022 2
2017-05-30 17:59:14.601000 7.117 7.35696 Clear 0 1225.545 78.054 2
2017-05-30 17:59:14.701000 7.067 7.30808 Clear 0 1225.584 78.085 2
2017-05-30 17:59:14.801000 7.057 7.29774 Clear 0 1225.623 78.117 2
2017-05-30 17:59:14.901000 7.11 7.35239 Clear 0 1225.662 78.148 2
2017-05-30 17:59:15.001000 7.061 7.30334 Clear 0 1225.701 78.179 2
2017-05-30 17:59:15.101000 7.15 7.3932 Clear 0 1225.741 78.211 2
2017-05-30 17:59:15.201000 7.084 7.32659 Clear 0 1225.781 78.242 2
2017-05-30 17:59:15.301000 7.072 7.31548 Clear 0 1225.822 78.273 2
2017-05-30 17:59:15.401000 7.065 7.30869 Clear 0 1225.863 78.305 2
2017-05-30 17:59:15.501000 6.939 7.18426 Clear 0 1225.904 78.336 2
2017-05-30 17:59:15.601000 7.019 7.2638 Clear 0 1225.946 78.367 2
2017-05-30 17:59:15.701000 7.069 7.31445 Clear 0 1225.988 78.399 2
2017-05-30 17:59:15.801000 7.103 7.35035 Clear 0 1226.031 78.43 2
2017-05-30 17:59:15.901000 7.155 7.40163 Clear 0 1226.073 78.461 2
2017-05-30 17:59:16.001000 6.978 7.22566 Clear 0 1226.117 78.493 2
2017-05-30 17:59:16.101000 7.033 7.28108 Clear 0 1226.16 78.524 2
2017-05-30 17:59:16.201000 7.081 7.33015 Clear 0 1226.204 78.555 2
2017-05-30 17:59:16.301000 7.038 7.28697 Clear 0 1226.248 78.587 2
2017-05-30 17:59:16.401000 6.87 7.11972 Clear 0 1226.293 78.618 2
2017-05-30 17:59:16.501000 7.052 7.30302 Clear 0 1226.338 78.649 2
2017-05-30 17:59:16.601000 7.08 7.3308 Clear 0 1226.384 78.681 2
2017-05-30 17:59:16.701000 7.058 7.31023 Clear 0 1226.429 78.712 2
2017-05-30 17:59:16.801000 7.062 7.3137 Clear 0 1226.476 78.743 2
2017-05-30 17:59:16.901000 7.114 7.36655 Clear 0 1226.522 78.775 2
2017-05-30 17:59:17.001000 7.192 7.44526 Clear 0 1226.569 78.806 2
2017-05-30 17:59:17.101000 7.057 7.31125 Clear 0 1226.616 78.837 2
2017-05-30 17:59:17.201000 7.053 7.30816 Clear 0 1226.664 78.869 2
2017-05-30 17:59:17.301000 6.905 7.15956 Clear 0 1226.712 78.9 2
2017-05-30 17:59:17.401000 6.979 7.23494 Clear 0 1226.76 78.931 2
2017-05-30 17:59:17.501000 7.054 7.31041 Clear 0 1226.809 78.962 2
